quarter,time,score,team,description
1,11:46.0,0-0,Hawks,N. Alexander-Walker misses 2-pt layup from 1 ft
1,11:42.0,0-0,76ers,Defensive rebound by J. Embiid
1,11:39.0,0-0,76ers,P. George misses 3-pt jump shot from 24 ft
1,11:36.0,0-0,Hawks,Defensive rebound by O. Okongwu
1,11:33.0,0-0,Hawks,Atlanta full timeout
1,11:25.0,0-3,Hawks,N. Alexander-Walker makes 3-pt jump shot from 25 ft (assist by D. Daniels)
1,11:12.0,2-3,76ers,J. Embiid makes 2-pt jump shot from 15 ft (assist by P. George)
1,11:03.0,2-3,Hawks,D. Daniels misses 2-pt jump shot from 11 ft (block by J. Embiid)
1,11:00.0,2-3,Hawks,Offensive rebound by Z. Risacher
1,10:58.0,2-6,Hawks,O. Okongwu makes 3-pt jump shot from 26 ft (assist by J. Johnson)
1,10:38.0,5-6,76ers,V. Edgecombe makes 3-pt jump shot from 23 ft (assist by Q. Grimes)
1,10:29.0,5-8,Hawks,N. Alexander-Walker makes 2-pt hook shot from 5 ft
1,10:07.0,8-8,76ers,P. George makes 3-pt jump shot from 24 ft (assist by Q. Grimes)
1,9:57.0,8-11,Hawks,D. Daniels makes 3-pt jump shot from 26 ft (assist by Z. Risacher)
1,9:41.0,8-11,76ers,P. George misses 2-pt jump shot from 14 ft
1,9:39.0,8-11,Hawks,Defensive rebound by O. Okongwu
1,9:32.0,8-11,Hawks,N. Alexander-Walker misses 2-pt layup from 3 ft
1,9:28.0,8-11,76ers,Defensive rebound by D. Barlow
1,9:27.0,8-11,76ers,Shooting foul by Z. Risacher (drawn by P. George)
1,9:27.0,9-11,76ers,P. George makes free throw 1 of 2
1,9:27.0,10-11,76ers,P. George makes free throw 2 of 2
1,9:13.0,10-11,Hawks,O. Okongwu misses 3-pt jump shot from 27 ft
1,9:09.0,10-11,76ers,Defensive rebound by Q. Grimes
1,8:58.0,10-11,76ers,Shooting foul by D. Daniels (drawn by J. Embiid)
1,8:58.0,10-11,76ers,J. Embiid misses free throw 1 of 2
1,8:58.0,10-11,76ers,Offensive rebound by Team
1,8:58.0,11-11,76ers,J. Embiid makes free throw 2 of 2
1,8:44.0,11-11,Hawks,J. Johnson misses 2-pt layup from 6 ft
1,8:43.0,11-11,Hawks,Offensive rebound by D. Daniels
1,8:43.0,11-11,Hawks,D. Daniels misses 2-pt layup from 3 ft
1,8:42.0,11-11,Hawks,Offensive rebound by N. Alexander-Walker
1,8:35.0,11-11,Hawks,Z. Risacher misses 3-pt jump shot from 26 ft
1,8:32.0,11-11,76ers,Defensive rebound by Q. Grimes
1,8:26.0,11-11,76ers,V. Edgecombe misses 3-pt jump shot from 23 ft
1,8:25.0,11-11,76ers,Offensive rebound by J. Embiid
1,8:25.0,11-11,76ers,J. Embiid misses 2-pt layup from 5 ft
1,8:24.0,11-11,Hawks,Defensive rebound by O. Okongwu
1,8:12.0,11-11,Hawks,J. Johnson misses 2-pt jump shot from 6 ft
1,8:08.0,11-11,Hawks,Offensive rebound by J. Johnson
1,8:08.0,11-11,Hawks,J. Johnson misses 2-pt layup at rim
1,8:08.0,11-11,76ers,Defensive rebound by V. Edgecombe
1,7:52.0,11-11,76ers,Turnover by V. Edgecombe (bad pass; steal by J. Johnson)
1,7:50.0,11-11,Hawks,Shooting foul by V. Edgecombe (drawn by J. Johnson)
1,7:50.0,11-12,Hawks,J. Johnson makes free throw 1 of 2
1,7:50.0,11-13,Hawks,J. Johnson makes free throw 2 of 2
1,7:30.0,11-13,76ers,Turnover by Q. Grimes (bad pass; steal by O. Okongwu)
1,7:28.0,11-13,Hawks,Shooting foul by V. Edgecombe (drawn by Z. Risacher)
1,7:28.0,11-14,Hawks,Z. Risacher makes free throw 1 of 2
1,7:28.0,11-14,76ers,J. McCain enters the game for V. Edgecombe
1,7:28.0,11-15,Hawks,Z. Risacher makes free throw 2 of 2
1,7:08.0,11-15,76ers,Turnover by J. Embiid (bad pass; steal by N. Alexander-Walker)
1,7:04.0,11-15,Hawks,D. Daniels misses 2-pt layup from 4 ft
1,6:59.0,11-15,Hawks,Offensive rebound by D. Daniels
1,6:59.0,11-17,Hawks,D. Daniels makes 2-pt layup at rim
1,6:54.0,11-17,76ers,Philadelphia full timeout
1,6:54.0,11-17,Hawks,M. Gueye enters the game for N. Alexander-Walker
1,6:54.0,11-17,Hawks,V. Krejci enters the game for O. Okongwu
1,6:42.0,11-17,76ers,P. George misses 2-pt jump shot from 13 ft
1,6:40.0,11-17,76ers,Offensive rebound by J. Embiid
1,6:40.0,11-17,76ers,J. Embiid misses 2-pt layup at rim
1,6:39.0,11-17,76ers,Offensive rebound by J. Embiid
1,6:39.0,11-17,76ers,Shooting foul by V. Krejci (drawn by J. Embiid)
1,6:39.0,12-17,76ers,J. Embiid makes free throw 1 of 2
1,6:39.0,13-17,76ers,J. Embiid makes free throw 2 of 2
1,6:25.0,13-17,Hawks,Shooting foul by J. McCain (drawn by V. Krejci)
1,6:25.0,13-18,Hawks,V. Krejci makes free throw 1 of 3
1,6:25.0,13-19,Hawks,V. Krejci makes free throw 2 of 3
1,6:25.0,13-20,Hawks,V. Krejci makes free throw 3 of 3
1,6:13.0,15-20,76ers,J. Embiid makes 2-pt layup from 2 ft (assist by J. McCain)
1,6:03.0,15-22,Hawks,J. Johnson makes 2-pt jump shot from 20 ft (assist by D. Daniels)
1,5:45.0,18-22,76ers,P. George makes 3-pt jump shot from 23 ft (assist by Q. Grimes)
1,5:36.0,18-22,Hawks,Turnover by M. Gueye (bad pass; steal by D. Barlow)
1,5:33.0,20-22,76ers,D. Barlow makes 2-pt dunk from 1 ft
1,5:12.0,20-22,Hawks,Z. Risacher misses 2-pt jump shot from 22 ft
1,5:11.0,20-22,Hawks,Offensive rebound by Team
1,5:11.0,20-22,Hawks,L. Kennard enters the game for Z. Risacher
1,5:08.0,20-22,Hawks,J. Johnson misses 2-pt layup from 7 ft
1,5:06.0,20-22,76ers,Defensive rebound by J. Embiid
1,4:48.0,20-22,76ers,J. Embiid misses 2-pt jump shot from 2 ft
1,4:45.0,20-22,Hawks,Defensive rebound by D. Daniels
1,4:41.0,20-22,Hawks,Turnover by M. Gueye (bad pass)
1,4:29.0,20-22,76ers,J. McCain misses 3-pt jump shot from 28 ft
1,4:26.0,20-22,Hawks,Defensive rebound by L. Kennard
1,4:26.0,20-22,76ers,J. Edwards enters the game for P. George
1,4:14.0,20-22,Hawks,M. Gueye misses 3-pt jump shot from 26 ft
1,4:09.0,20-22,Hawks,Offensive rebound by J. Johnson
1,4:09.0,20-24,Hawks,J. Johnson makes 2-pt layup at rim
1,3:46.0,20-24,76ers,J. Embiid misses 3-pt jump shot from 24 ft
1,3:44.0,20-24,Hawks,Defensive rebound by D. Daniels
1,3:37.0,20-26,Hawks,D. Daniels makes 2-pt dunk from 2 ft (assist by J. Johnson)
1,3:19.0,20-26,76ers,J. Edwards misses 2-pt layup from 3 ft (block by M. Gueye)
1,3:16.0,20-26,76ers,Offensive rebound by J. Edwards
1,3:13.0,23-26,76ers,D. Barlow makes 3-pt jump shot from 27 ft (assist by J. Edwards)
1,3:01.0,23-26,Hawks,Shooting foul by J. Embiid (drawn by M. Gueye)
1,3:01.0,23-26,Hawks,Violation by Team (delay of game)
1,3:01.0,23-26,Hawks,M. Gueye misses free throw 1 of 2
1,3:01.0,23-26,Hawks,Offensive rebound by Team
1,3:01.0,23-26,76ers,A. Drummond enters the game for J. Embiid
1,3:01.0,23-26,Hawks,N. Alexander-Walker enters the game for D. Daniels
1,3:01.0,23-26,Hawks,O. Okongwu enters the game for J. Johnson
1,3:01.0,23-27,Hawks,M. Gueye makes free throw 2 of 2
1,2:49.0,23-27,76ers,J. Edwards misses 3-pt jump shot from 25 ft
1,2:44.0,23-27,Hawks,Defensive rebound by M. Gueye
1,2:33.0,23-30,Hawks,V. Krejci makes 3-pt jump shot from 26 ft (assist by L. Kennard)
1,2:15.0,26-30,76ers,Q. Grimes makes 3-pt jump shot from 24 ft (assist by A. Drummond)
1,2:02.0,26-32,Hawks,V. Krejci makes 2-pt layup from 1 ft (assist by O. Okongwu)
1,1:49.0,26-32,76ers,J. Edwards misses 3-pt jump shot from 24 ft
1,1:46.0,26-32,Hawks,Defensive rebound by N. Alexander-Walker
1,1:39.0,26-35,Hawks,V. Krejci makes 3-pt jump shot from 24 ft (assist by N. Alexander-Walker)
1,1:39.0,26-35,76ers,P. George enters the game for D. Barlow
1,1:18.0,26-35,76ers,Q. Grimes misses 2-pt jump shot from 14 ft
1,1:17.0,26-35,76ers,Offensive rebound by J. Edwards
1,1:17.0,26-35,76ers,J. Edwards misses 2-pt layup from 5 ft
1,1:16.0,26-35,Hawks,Defensive rebound by O. Okongwu
1,1:11.0,26-35,Hawks,Personal foul by J. Edwards (drawn by N. Alexander-Walker)
1,1:11.0,26-36,Hawks,N. Alexander-Walker makes free throw 1 of 2
1,1:11.0,26-37,Hawks,N. Alexander-Walker makes free throw 2 of 2
1,0:54.0,26-37,76ers,J. Edwards misses 3-pt jump shot from 25 ft
1,0:51.0,26-37,Hawks,Defensive rebound by O. Okongwu
1,0:40.0,26-37,Hawks,N. Alexander-Walker misses 2-pt layup from 2 ft
