quarter,time,score,team,description
1,11:46.0,0-0,76ers,P. George misses 3-pt jump shot from 27 ft
1,11:43.0,0-0,76ers,Offensive rebound by D. Barlow
1,11:41.0,0-0,76ers,V. Edgecombe misses 3-pt jump shot from 25 ft
1,11:40.0,0-0,Knicks,Defensive rebound by O. Anunoby
1,11:21.0,0-2,Knicks,J. Brunson makes 2-pt layup from 1 ft (assist by J. Hart)
1,11:07.0,2-2,76ers,D. Barlow makes 2-pt layup at rim (assist by T. Maxey)
1,10:49.0,2-2,Knicks,Turnover by K. Towns (bad pass)
1,10:28.0,4-2,76ers,T. Maxey makes 2-pt jump shot from 5 ft (assist by V. Edgecombe)
1,10:02.0,4-4,Knicks,J. Brunson makes 2-pt jump shot from 5 ft (assist by M. Bridges)
1,9:43.0,4-4,76ers,V. Edgecombe misses 2-pt jump shot from 8 ft
1,9:40.0,4-4,76ers,Offensive rebound by A. Drummond
1,9:40.0,4-4,76ers,A. Drummond misses 2-pt layup from 1 ft
1,9:39.0,4-4,Knicks,Defensive rebound by J. Brunson
1,9:33.0,4-4,Knicks,J. Hart misses 2-pt layup from 1 ft (block by D. Barlow)
1,9:31.0,4-4,Knicks,Offensive rebound by J. Hart
1,9:31.0,4-4,Knicks,Personal foul by A. Drummond (drawn by K. Towns)
1,9:23.0,4-6,Knicks,M. Bridges makes 2-pt dunk from 1 ft (assist by J. Hart)
1,9:11.0,7-6,76ers,V. Edgecombe makes 3-pt jump shot from 25 ft (assist by A. Drummond)
1,8:46.0,7-8,Knicks,J. Hart makes 2-pt jump shot from 9 ft (assist by M. Bridges)
1,8:31.0,7-8,76ers,P. George misses 2-pt jump shot from 10 ft
1,8:29.0,7-8,Knicks,Defensive rebound by K. Towns
1,8:26.0,7-8,Knicks,Offensive foul by J. Hart (drawn by P. George)
1,8:26.0,7-8,Knicks,Turnover by J. Hart (offensive foul)
1,8:10.0,7-8,76ers,P. George misses 3-pt jump shot from 26 ft
1,8:08.0,7-8,Knicks,Defensive rebound by K. Towns
1,7:58.0,7-8,Knicks,O. Anunoby misses 3-pt jump shot from 24 ft
1,7:56.0,7-8,Knicks,Offensive rebound by K. Towns
1,7:53.0,7-10,Knicks,K. Towns makes 2-pt layup from 1 ft
1,7:44.0,10-10,76ers,T. Maxey makes 3-pt jump shot from 27 ft
1,7:30.0,10-10,Knicks,M. Bridges misses 3-pt jump shot from 22 ft
1,7:28.0,10-10,76ers,Defensive rebound by A. Drummond
1,7:21.0,13-10,76ers,A. Drummond makes 3-pt jump shot from 24 ft (assist by V. Edgecombe)
1,7:06.0,13-10,Knicks,J. Brunson misses 2-pt jump shot from 10 ft
1,7:03.0,13-10,Knicks,Offensive rebound by J. Brunson
1,7:00.0,13-10,Knicks,J. Hart misses 3-pt jump shot from 26 ft
1,6:57.0,13-10,76ers,Defensive rebound by P. George
1,6:48.0,16-10,76ers,T. Maxey makes 3-pt jump shot from 30 ft (assist by P. George)
1,6:36.0,16-12,Knicks,M. Bridges makes 2-pt layup from 1 ft (assist by J. Brunson)
1,6:20.0,16-12,76ers,A. Drummond misses 2-pt jump shot from 9 ft
1,6:19.0,16-12,76ers,Offensive rebound by D. Barlow
1,6:19.0,18-12,76ers,D. Barlow makes 2-pt layup at rim
1,6:19.0,18-12,76ers,Shooting foul by J. Brunson (drawn by D. Barlow)
1,6:19.0,18-12,Knicks,New York full timeout
