quarter,time,score,team,description
1,11:45.0,0-0,76ers,P. George misses 3-pt jump shot from 25 ft
1,11:43.0,0-0,Bulls,Defensive rebound by M. Buzelis
1,11:36.0,0-0,Bulls,J. Giddey misses 2-pt layup from 1 ft
1,11:34.0,0-0,76ers,Defensive rebound by P. George
1,11:23.0,0-0,76ers,V. Edgecombe misses 3-pt jump shot from 25 ft
1,11:21.0,0-0,Bulls,Defensive rebound by N. Vučević
1,11:01.0,0-0,Bulls,I. Okoro misses 2-pt hook shot from 4 ft
1,10:58.0,0-0,76ers,Defensive rebound by P. George
1,10:51.0,3-0,76ers,T. Maxey makes 3-pt jump shot from 26 ft (assist by P. George)
1,10:32.0,3-0,Bulls,Turnover by J. Giddey (lost ball; steal by V. Edgecombe)
1,10:28.0,5-0,76ers,V. Edgecombe makes 2-pt dunk from 1 ft
1,10:18.0,5-0,Bulls,Turnover by M. Buzelis (lost ball; steal by D. Barlow)
1,10:14.0,5-0,76ers,T. Maxey misses 3-pt jump shot from 26 ft
1,10:11.0,5-0,Bulls,Defensive rebound by C. White
1,10:06.0,5-0,Bulls,C. White misses 3-pt jump shot from 27 ft
1,10:03.0,5-0,76ers,Defensive rebound by J. Embiid
1,9:54.0,7-0,76ers,J. Embiid makes 2-pt jump shot from 16 ft (assist by T. Maxey)
1,9:39.0,7-2,Bulls,M. Buzelis makes 2-pt layup from 1 ft
1,9:24.0,7-2,76ers,J. Embiid misses 2-pt jump shot from 12 ft
1,9:22.0,7-2,76ers,Offensive rebound by D. Barlow
1,9:22.0,9-2,76ers,D. Barlow makes 2-pt layup at rim
1,9:22.0,9-2,Bulls,Chicago full timeout
1,9:10.0,9-2,Bulls,Turnover by J. Giddey (bad pass; steal by D. Barlow)
1,9:04.0,9-2,76ers,Shooting foul by M. Buzelis (drawn by V. Edgecombe)
1,9:04.0,10-2,76ers,V. Edgecombe makes free throw 1 of 2
1,9:04.0,11-2,76ers,V. Edgecombe makes free throw 2 of 2
1,8:41.0,11-2,Bulls,M. Buzelis misses 2-pt layup from 2 ft
1,8:38.0,11-2,76ers,Defensive rebound by P. George
1,8:34.0,11-2,76ers,P. George misses 2-pt layup from 2 ft
1,8:34.0,11-2,76ers,Offensive rebound by D. Barlow
1,8:34.0,11-2,76ers,Shooting foul by C. White (drawn by D. Barlow)
1,8:34.0,12-2,76ers,D. Barlow makes free throw 1 of 2
1,8:34.0,13-2,76ers,D. Barlow makes free throw 2 of 2
1,8:23.0,13-2,Bulls,Personal foul by T. Maxey (drawn by I. Okoro)
1,8:15.0,13-2,Bulls,C. White misses 3-pt jump shot from 26 ft
1,8:11.0,13-2,76ers,Defensive rebound by P. George
1,8:04.0,13-2,76ers,Turnover by T. Maxey (bad pass)
1,7:50.0,13-5,Bulls,N. Vučević makes 3-pt jump shot from 26 ft (assist by J. Giddey)
1,7:29.0,13-5,76ers,T. Maxey misses 2-pt jump shot from 9 ft
1,7:25.0,13-5,76ers,Offensive rebound by J. Embiid
1,7:25.0,15-5,76ers,J. Embiid makes 2-pt layup at rim
1,7:20.0,15-8,Bulls,M. Buzelis makes 3-pt jump shot from 25 ft (assist by C. White)
1,7:06.0,15-8,76ers,P. George misses 2-pt jump shot from 13 ft
1,7:03.0,15-8,Bulls,Defensive rebound by N. Vučević
1,6:52.0,15-8,Bulls,Personal foul by D. Barlow (drawn by N. Vučević)
1,6:52.0,15-8,Bulls,Z. Collins enters the game for N. Vučević
1,6:52.0,15-8,Bulls,K. Huerter enters the game for C. White
1,6:45.0,15-11,Bulls,J. Giddey makes 3-pt jump shot from 25 ft (assist by K. Huerter)
1,6:26.0,15-11,76ers,Turnover by J. Embiid (lost ball; steal by J. Giddey)
1,6:22.0,15-13,Bulls,Z. Collins makes 2-pt layup from 1 ft (assist by J. Giddey)
1,6:22.0,15-13,Bulls,Shooting foul by V. Edgecombe (drawn by Z. Collins)
1,6:22.0,15-13,76ers,Q. Grimes enters the game for D. Barlow
1,6:22.0,15-13,76ers,J. Walker enters the game for V. Edgecombe
1,6:22.0,15-14,Bulls,Z. Collins makes free throw 1 of 1
1,6:10.0,17-14,76ers,J. Embiid makes 2-pt hook shot from 8 ft (assist by T. Maxey)
1,6:10.0,17-14,76ers,Shooting foul by M. Buzelis (drawn by J. Embiid)
1,6:10.0,17-14,Bulls,J. Smith enters the game for M. Buzelis
1,6:10.0,18-14,76ers,J. Embiid makes free throw 1 of 1
1,5:55.0,18-17,Bulls,Z. Collins makes 3-pt jump shot from 25 ft (assist by J. Giddey)
1,5:38.0,20-17,76ers,J. Embiid makes 2-pt layup from 2 ft (assist by P. George)
1,5:30.0,20-20,Bulls,J. Smith makes 3-pt jump shot from 27 ft (assist by J. Giddey)
1,5:12.0,20-20,76ers,T. Maxey misses 3-pt jump shot from 25 ft
1,5:07.0,20-20,Bulls,Defensive rebound by J. Giddey
1,4:55.0,20-22,Bulls,Z. Collins makes 2-pt layup from 1 ft (assist by J. Giddey)
1,4:43.0,22-22,76ers,P. George makes 2-pt layup from 1 ft
1,4:43.0,22-22,76ers,Shooting foul by J. Giddey (drawn by P. George)
1,4:43.0,22-22,Bulls,A. Dosunmu enters the game for J. Giddey
1,4:43.0,22-22,Bulls,T. Jones enters the game for I. Okoro
1,4:43.0,23-22,76ers,P. George makes free throw 1 of 1
1,4:24.0,23-22,Bulls,K. Huerter misses 3-pt jump shot from 25 ft
1,4:21.0,23-22,76ers,Defensive rebound by P. George
1,4:14.0,23-22,76ers,Q. Grimes misses 3-pt jump shot from 26 ft
1,4:10.0,23-22,76ers,Offensive rebound by J. Walker
1,4:05.0,23-22,76ers,Turnover by J. Embiid (lost ball; steal by T. Jones)
1,3:59.0,23-24,Bulls,K. Huerter makes 2-pt layup from 1 ft (assist by T. Jones)
1,3:42.0,23-24,76ers,T. Maxey misses 2-pt layup from 2 ft
1,3:42.0,23-24,76ers,Offensive rebound by J. Walker
1,3:42.0,23-24,76ers,Shooting foul by Z. Collins (drawn by J. Walker)
1,3:42.0,23-24,76ers,J. Walker misses free throw 1 of 2
1,3:42.0,23-24,76ers,Offensive rebound by Team
1,3:42.0,23-24,76ers,A. Drummond enters the game for J. Embiid
1,3:42.0,24-24,76ers,J. Walker makes free throw 2 of 2
1,3:28.0,24-26,Bulls,Z. Collins makes 2-pt layup from 1 ft (assist by J. Smith)
1,3:08.0,24-26,76ers,T. Maxey misses 2-pt jump shot from 21 ft
1,3:02.0,24-26,76ers,Offensive rebound by A. Drummond
1,3:02.0,24-26,76ers,A. Drummond misses 2-pt layup at rim
1,3:02.0,24-26,Bulls,Defensive rebound by Z. Collins
1,2:50.0,24-26,Bulls,K. Huerter misses 3-pt jump shot from 27 ft
1,2:46.0,24-26,Bulls,Offensive rebound by J. Smith
1,2:46.0,24-26,Bulls,J. Smith misses 2-pt layup at rim
1,2:46.0,24-26,76ers,Defensive rebound by A. Drummond
1,2:43.0,24-26,76ers,T. Maxey misses 2-pt jump shot from 11 ft (block by J. Smith)
1,2:43.0,24-26,76ers,Offensive rebound by Team
1,2:43.0,24-26,76ers,Philadelphia full timeout
1,2:43.0,24-26,76ers,V. Edgecombe enters the game for P. George
1,2:24.0,24-26,76ers,Turnover by Team (shot clock)
1,2:14.0,24-28,Bulls,T. Jones makes 2-pt layup at rim
1,1:55.0,24-28,76ers,A. Drummond misses 3-pt jump shot from 24 ft
1,1:50.0,24-28,76ers,Offensive rebound by V. Edgecombe
1,1:47.0,24-28,76ers,V. Edgecombe misses 2-pt layup from 2 ft
1,1:44.0,24-28,76ers,Offensive rebound by A. Drummond
1,1:44.0,26-28,76ers,A. Drummond makes 2-pt layup at rim
1,1:24.0,26-28,Bulls,J. Smith misses 3-pt jump shot from 24 ft
1,1:21.0,26-28,76ers,Defensive rebound by A. Drummond
1,1:12.0,26-28,76ers,Q. Grimes misses 3-pt jump shot from 26 ft
1,1:06.0,26-28,Bulls,Defensive rebound by Z. Collins
1,1:02.0,26-28,Bulls,Personal foul by A. Drummond (drawn by K. Huerter)
1,1:02.0,26-28,Bulls,N. Vučević enters the game for Z. Collins
1,1:02.0,26-28,Bulls,C. White enters the game for K. Huerter
1,0:55.0,26-28,Bulls,A. Dosunmu misses 3-pt jump shot from 25 ft
1,0:53.0,26-28,76ers,Defensive rebound by T. Maxey
1,0:32.0,26-28,76ers,A. Drummond misses 3-pt jump shot from 23 ft
1,0:27.0,26-28,Bulls,Defensive rebound by A. Dosunmu
1,0:25.0,26-28,Bulls,C. White misses 3-pt jump shot from 24 ft
1,0:25.0,26-28,Bulls,Offensive rebound by J. Smith
1,0:22.0,26-28,Bulls,Personal foul by V. Edgecombe (drawn by J. Smith)
1,0:22.0,26-29,Bulls,J. Smith makes free throw 1 of 2
1,0:22.0,26-29,76ers,P. George enters the game for A. Drummond
1,0:22.0,26-29,Bulls,I. Okoro enters the game for T. Jones
