quarter,time,score,team,description
1,11:48.0,0-0,76ers,Turnover by P. George (bad pass; steal by S. Gilgeous-Alexander)
1,11:39.0,0-2,Thunder,S. Gilgeous-Alexander makes 2-pt jump shot from 13 ft
1,11:17.0,2-2,76ers,V. Edgecombe makes 2-pt jump shot from 20 ft
1,10:52.0,2-4,Thunder,C. Holmgren makes 2-pt jump shot from 9 ft
1,10:31.0,2-4,76ers,P. George misses 2-pt jump shot from 18 ft
1,10:29.0,2-4,Thunder,Defensive rebound by C. Holmgren
1,10:22.0,2-4,Thunder,Turnover by L. Dort (step out of bounds)
1,10:08.0,4-4,76ers,T. Maxey makes 2-pt layup from 3 ft (assist by V. Edgecombe)
1,9:53.0,4-7,Thunder,L. Dort makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander)
1,9:32.0,4-7,76ers,Shooting foul by I. Hartenstein (drawn by T. Maxey)
1,9:32.0,5-7,76ers,T. Maxey makes free throw 1 of 2
1,9:32.0,6-7,76ers,T. Maxey makes free throw 2 of 2
1,9:20.0,6-9,Thunder,J. Williams makes 2-pt dunk from 1 ft (assist by I. Hartenstein)
1,9:06.0,6-9,76ers,V. Edgecombe misses 2-pt jump shot from 14 ft
1,9:03.0,6-9,76ers,Offensive rebound by V. Edgecombe
1,9:01.0,9-9,76ers,T. Maxey makes 3-pt jump shot from 29 ft (assist by V. Edgecombe)
1,8:50.0,9-11,Thunder,I. Hartenstein makes 2-pt dunk from 1 ft (assist by J. Williams)
1,8:50.0,9-11,Thunder,Shooting foul by A. Drummond (drawn by I. Hartenstein)
1,8:50.0,9-12,Thunder,I. Hartenstein makes free throw 1 of 1
1,8:31.0,9-12,76ers,Turnover by A. Drummond (out of bounds lost ball)
1,8:09.0,9-14,Thunder,C. Holmgren makes 2-pt jump shot from 7 ft
1,7:58.0,9-14,76ers,P. George misses 3-pt jump shot from 24 ft
1,7:57.0,9-14,Thunder,Defensive rebound by L. Dort
1,7:52.0,9-14,Thunder,Turnover by L. Dort (lost ball; steal by T. Maxey)
1,7:48.0,9-14,76ers,V. Edgecombe misses 2-pt layup from 2 ft (block by C. Holmgren)
1,7:45.0,9-14,Thunder,Defensive rebound by J. Williams
1,7:39.0,9-16,Thunder,C. Holmgren makes 2-pt dunk from 1 ft (assist by J. Williams)
1,7:38.0,9-16,76ers,Philadelphia full timeout
1,7:38.0,9-16,Thunder,I. Joe enters the game for I. Hartenstein
1,7:22.0,11-16,76ers,A. Drummond makes 2-pt layup from 6 ft (assist by P. George)
1,6:59.0,11-16,Thunder,Turnover by S. Gilgeous-Alexander (bad pass; steal by T. Maxey)
1,6:58.0,13-16,76ers,T. Maxey makes 2-pt dunk from 2 ft
1,6:39.0,13-16,Thunder,Turnover by C. Holmgren (traveling)
1,6:17.0,13-16,76ers,P. George misses 2-pt jump shot from 21 ft
1,6:16.0,13-16,76ers,Offensive rebound by Team
1,6:16.0,13-16,Thunder,Loose ball foul by C. Holmgren (drawn by A. Drummond)
1,6:02.0,13-16,76ers,A. Drummond misses 2-pt hook shot from 4 ft
1,6:00.0,13-16,Thunder,Defensive rebound by C. Holmgren
1,5:52.0,13-18,Thunder,S. Gilgeous-Alexander makes 2-pt jump shot from 18 ft
1,5:40.0,16-18,76ers,V. Edgecombe makes 3-pt jump shot from 26 ft (assist by T. Maxey)
1,5:20.0,16-18,Thunder,Turnover by C. Holmgren (lost ball; steal by T. Maxey)
1,5:07.0,16-18,76ers,A. Drummond misses 2-pt layup from 2 ft (block by C. Holmgren)
1,5:05.0,16-18,Thunder,Defensive rebound by I. Joe
1,5:01.0,16-18,Thunder,Turnover by J. Williams (bad pass)
1,5:01.0,16-18,76ers,A. Bona enters the game for A. Drummond
1,5:01.0,16-18,76ers,Q. Grimes enters the game for P. George
1,5:01.0,16-18,Thunder,A. Caruso enters the game for C. Holmgren
1,4:47.0,18-18,76ers,A. Bona makes 2-pt dunk from 2 ft (assist by V. Edgecombe)
1,4:34.0,18-18,Thunder,Shooting foul by T. Maxey (drawn by S. Gilgeous-Alexander)
1,4:34.0,18-19,Thunder,S. Gilgeous-Alexander makes free throw 1 of 2
1,4:34.0,18-19,Thunder,C. Wallace enters the game for J. Williams
1,4:34.0,18-20,Thunder,S. Gilgeous-Alexander makes free throw 2 of 2
1,4:19.0,18-20,76ers,Turnover by T. Maxey (bad pass; steal by S. Gilgeous-Alexander)
1,4:14.0,18-22,Thunder,A. Caruso makes 2-pt layup from 1 ft (assist by C. Wallace)
1,4:14.0,18-22,76ers,Violation by Team (def goaltending)
1,3:55.0,18-22,76ers,Shooting foul by L. Dort (drawn by A. Bona)
1,3:55.0,19-22,76ers,A. Bona makes free throw 1 of 2
1,3:55.0,19-22,76ers,J. McCain enters the game for V. Edgecombe
1,3:55.0,19-22,Thunder,I. Hartenstein enters the game for L. Dort
1,3:55.0,20-22,76ers,A. Bona makes free throw 2 of 2
1,3:45.0,20-22,Thunder,I. Joe misses 3-pt jump shot from 25 ft
1,3:42.0,20-22,76ers,Defensive rebound by D. Barlow
1,3:33.0,20-22,76ers,Turnover by T. Maxey (out of bounds lost ball)
1,3:22.0,20-22,Thunder,I. Hartenstein misses 2-pt jump shot from 9 ft
1,3:19.0,20-22,76ers,Defensive rebound by T. Maxey
1,3:13.0,22-22,76ers,T. Maxey makes 2-pt layup from 2 ft
1,3:13.0,22-22,Thunder,Oklahoma City full timeout
1,2:56.0,22-24,Thunder,S. Gilgeous-Alexander makes 2-pt jump shot from 19 ft
1,2:36.0,25-24,76ers,Q. Grimes makes 3-pt jump shot from 24 ft (assist by J. McCain)
1,2:36.0,25-24,Thunder,A. Mitchell enters the game for I. Joe
1,2:21.0,25-24,Thunder,S. Gilgeous-Alexander misses 2-pt jump shot from 8 ft
1,2:18.0,25-24,76ers,Defensive rebound by J. McCain
1,2:13.0,25-24,76ers,J. McCain misses 3-pt jump shot from 29 ft
1,2:11.0,25-24,Thunder,Defensive rebound by A. Caruso
1,2:07.0,25-27,Thunder,A. Mitchell makes 3-pt jump shot from 23 ft (assist by C. Wallace)
1,1:56.0,25-27,76ers,Turnover by D. Barlow (bad pass)
1,1:38.0,25-27,Thunder,Offensive foul by I. Hartenstein (drawn by A. Bona)
1,1:38.0,25-27,Thunder,Turnover by I. Hartenstein (offensive foul)
1,1:38.0,25-27,76ers,P. George enters the game for D. Barlow
