quarter,time,score,team,description
1,11:47.0,0-2,Mavericks,C. Flagg makes 2-pt jump shot from 5 ft (assist by A. Davis)
1,11:26.0,2-2,76ers,J. Embiid makes 2-pt jump shot from 15 ft (assist by T. Maxey)
1,11:02.0,2-4,Mavericks,R. Nembhard makes 2-pt jump shot from 14 ft
1,10:41.0,5-4,76ers,T. Maxey makes 3-pt jump shot from 25 ft (assist by J. Embiid)
1,10:14.0,5-6,Mavericks,R. Nembhard makes 2-pt jump shot from 14 ft
1,9:57.0,5-6,76ers,T. Maxey misses 2-pt layup from 3 ft
1,9:53.0,5-6,Mavericks,Defensive rebound by P. Washington
1,9:50.0,5-8,Mavericks,P. Washington makes 2-pt dunk from 1 ft (assist by R. Nembhard)
1,9:28.0,5-8,76ers,D. Barlow misses 2-pt layup from 2 ft
1,9:27.0,5-8,Mavericks,Defensive rebound by P. Washington
1,9:20.0,5-10,Mavericks,A. Davis makes 2-pt jump shot from 7 ft (assist by R. Nembhard)
1,9:04.0,7-10,76ers,J. Embiid makes 2-pt jump shot from 4 ft (assist by T. Maxey)
1,8:53.0,7-10,Mavericks,Personal foul by D. Barlow (drawn by A. Davis)
1,8:48.0,7-10,Mavericks,Turnover by A. Davis (bad pass; steal by T. Maxey)
1,8:33.0,10-10,76ers,V. Edgecombe makes 3-pt jump shot from 26 ft (assist by T. Maxey)
1,8:08.0,10-12,Mavericks,M. Christie makes 2-pt layup from 3 ft
1,7:55.0,12-12,76ers,J. Embiid makes 2-pt jump shot from 17 ft
1,7:47.0,12-12,Mavericks,Turnover by R. Nembhard (bad pass; steal by V. Edgecombe)
1,7:42.0,12-12,76ers,V. Edgecombe misses 3-pt jump shot from 23 ft
1,7:38.0,12-12,Mavericks,Defensive rebound by M. Christie
1,7:31.0,12-12,Mavericks,Shooting foul by D. Barlow (drawn by M. Christie)
1,7:31.0,12-13,Mavericks,M. Christie makes free throw 1 of 2
1,7:31.0,12-13,76ers,Q. Grimes enters the game for D. Barlow
1,7:31.0,12-13,76ers,J. Walker enters the game for P. George
1,7:31.0,12-14,Mavericks,M. Christie makes free throw 2 of 2
1,7:16.0,12-14,76ers,T. Maxey misses 3-pt jump shot from 25 ft
1,7:13.0,12-14,Mavericks,Defensive rebound by A. Davis
1,7:11.0,12-14,Mavericks,C. Flagg misses 2-pt jump shot from 9 ft (block by Q. Grimes)
1,7:10.0,12-14,Mavericks,Offensive rebound by Team
1,7:10.0,12-14,Mavericks,N. Marshall enters the game for P. Washington
1,7:08.0,12-16,Mavericks,M. Christie makes 2-pt layup from 3 ft (assist by R. Nembhard)
1,6:44.0,12-16,76ers,T. Maxey misses 3-pt jump shot from 27 ft
1,6:42.0,12-16,Mavericks,Defensive rebound by Team
1,6:42.0,12-16,76ers,Loose ball foul by Q. Grimes (drawn by C. Flagg)
1,6:42.0,12-16,Mavericks,Dallas full timeout
1,6:42.0,12-16,76ers,A. Drummond enters the game for J. Embiid
1,6:28.0,12-18,Mavericks,A. Davis makes 2-pt dunk from 2 ft (assist by C. Flagg)
1,6:14.0,14-18,76ers,V. Edgecombe makes 2-pt layup from 2 ft (assist by T. Maxey)
1,6:02.0,14-18,Mavericks,Turnover by C. Flagg (lost ball; steal by V. Edgecombe)
1,5:58.0,14-18,76ers,T. Maxey misses 2-pt jump shot from 13 ft
1,5:55.0,14-18,Mavericks,Defensive rebound by C. Flagg
1,5:52.0,14-20,Mavericks,C. Flagg makes 2-pt dunk from 1 ft (assist by N. Marshall)
1,5:35.0,14-20,76ers,A. Drummond misses 3-pt jump shot from 23 ft
1,5:32.0,14-20,Mavericks,Defensive rebound by R. Nembhard
1,5:19.0,14-20,Mavericks,A. Davis misses 2-pt jump shot from 15 ft
1,5:17.0,14-20,76ers,Defensive rebound by T. Maxey
1,5:09.0,16-20,76ers,T. Maxey makes 2-pt layup from 2 ft
1,4:56.0,16-20,Mavericks,R. Nembhard misses 2-pt layup from 4 ft
1,4:51.0,16-20,76ers,Defensive rebound by Q. Grimes
1,4:47.0,18-20,76ers,T. Maxey makes 2-pt layup from 2 ft
1,4:29.0,18-22,Mavericks,M. Christie makes 2-pt jump shot from 6 ft
1,4:02.0,20-22,76ers,V. Edgecombe makes 2-pt jump shot from 12 ft
1,3:44.0,20-24,Mavericks,C. Flagg makes 2-pt jump shot from 20 ft (assist by M. Christie)
1,3:27.0,20-24,76ers,J. Walker misses 3-pt jump shot from 23 ft
1,3:26.0,20-24,76ers,Offensive rebound by A. Drummond
1,3:23.0,20-24,76ers,V. Edgecombe misses 3-pt jump shot from 25 ft
1,3:21.0,20-24,76ers,Offensive rebound by Team
1,3:21.0,20-24,Mavericks,Loose ball foul by R. Nembhard (drawn by J. Walker)
1,3:21.0,20-24,Mavericks,K. Thompson enters the game for M. Christie
1,3:21.0,20-24,Mavericks,B. Williams enters the game for R. Nembhard
1,3:14.0,20-24,76ers,J. Walker misses 3-pt jump shot from 26 ft
1,3:11.0,20-24,Mavericks,Defensive rebound by B. Williams
1,3:05.0,20-24,Mavericks,N. Marshall misses 2-pt layup from 1 ft
1,3:03.0,20-24,76ers,Defensive rebound by A. Drummond
1,2:59.0,20-24,76ers,Turnover by T. Maxey (bad pass; steal by C. Flagg)
1,2:56.0,20-26,Mavericks,C. Flagg makes 2-pt dunk from 2 ft
1,2:55.0,20-26,76ers,Philadelphia full timeout
1,2:55.0,20-26,76ers,J. Embiid enters the game for A. Drummond
1,2:55.0,20-26,76ers,P. George enters the game for T. Maxey
1,2:55.0,20-26,76ers,J. McCain enters the game for J. Walker
1,2:55.0,20-26,Mavericks,D. Gafford enters the game for A. Davis
1,2:55.0,20-26,Mavericks,P. Washington enters the game for C. Flagg
1,2:42.0,20-26,76ers,P. George misses 2-pt jump shot from 8 ft
1,2:39.0,20-26,Mavericks,Defensive rebound by D. Gafford
1,2:19.0,20-26,Mavericks,D. Gafford misses 2-pt jump shot from 10 ft
1,2:15.0,20-26,76ers,Defensive rebound by P. George
1,2:07.0,22-26,76ers,P. George makes 2-pt jump shot from 8 ft
1,1:47.0,22-29,Mavericks,K. Thompson makes 3-pt jump shot from 25 ft
1,1:33.0,24-29,76ers,J. McCain makes 2-pt jump shot from 10 ft
1,1:22.0,24-29,Mavericks,B. Williams misses 2-pt jump shot from 11 ft
1,1:19.0,24-29,76ers,Defensive rebound by J. McCain
1,1:15.0,24-29,76ers,J. McCain misses 2-pt layup from 4 ft (block by P. Washington)
1,1:15.0,24-29,76ers,Offensive rebound by V. Edgecombe
1,1:09.0,24-29,76ers,J. Embiid misses 3-pt jump shot from 25 ft
1,1:06.0,24-29,Mavericks,Defensive rebound by D. Gafford
1,0:57.0,24-29,Mavericks,D. Gafford misses 2-pt hook shot from 6 ft
1,0:55.0,24-29,76ers,Defensive rebound by J. Embiid
1,0:49.0,24-29,76ers,Shooting foul by D. Gafford (drawn by J. Embiid)
1,0:49.0,24-29,76ers,J. Embiid misses free throw 1 of 2
1,0:49.0,24-29,76ers,Offensive rebound by Team
1,0:49.0,25-29,76ers,J. Embiid makes free throw 2 of 2
1,0:40.0,25-31,Mavericks,B. Williams makes 2-pt layup at rim
1,0:32.0,25-31,76ers,J. Embiid misses 2-pt jump shot from 18 ft
1,0:32.0,25-31,Mavericks,Defensive rebound by P. Washington
1,0:17.0,25-31,Mavericks,B. Williams misses 2-pt layup from 2 ft
1,0:16.0,25-31,Mavericks,Offensive rebound by D. Gafford
1,0:16.0,25-33,Mavericks,D. Gafford makes 2-pt dunk at rim
1,0:00.0,27-33,76ers,P. George makes 2-pt jump shot from 4 ft
1,0:00.0,27-33,76ers,Instant Replay (Request: Ruling Stands)
2,12:00.0,27-33,76ers,Violation by Team (delay of game)
2,11:54.0,27-33,76ers,Turnover by P. George (bad pass)
2,11:41.0,27-35,Mavericks,K. Thompson makes 2-pt layup from 3 ft (assist by B. Williams)
2,11:25.0,27-35,76ers,P. George misses 3-pt jump shot from 26 ft
2,11:24.0,27-35,Mavericks,Defensive rebound by D. Gafford
2,11:20.0,27-35,Mavericks,Turnover by B. Williams (bad pass; steal by P. George)
2,11:16.0,29-35,76ers,P. George makes 2-pt layup from 3 ft
2,11:07.0,29-35,Mavericks,K. Thompson misses 3-pt jump shot from 26 ft
2,11:07.0,29-35,76ers,Defensive rebound by J. McCain
2,11:01.0,29-35,76ers,Personal foul by C. Martin (drawn by J. Embiid)
2,10:49.0,31-35,76ers,J. Embiid makes 2-pt layup from 4 ft (assist by T. Maxey)
2,10:49.0,31-35,76ers,Shooting foul by D. Gafford (drawn by J. Embiid)
2,10:49.0,31-35,Mavericks,A. Davis enters the game for D. Gafford
2,10:49.0,32-35,76ers,J. Embiid makes free throw 1 of 1
2,10:32.0,32-35,Mavericks,Personal foul by P. George (drawn by C. Martin)
2,10:26.0,32-35,Mavericks,P. Washington misses 3-pt jump shot from 24 ft
2,10:23.0,32-35,76ers,Defensive rebound by Q. Grimes
2,10:06.0,32-35,76ers,J. Embiid misses 3-pt jump shot from 24 ft
2,10:03.0,32-35,Mavericks,Defensive rebound by B. Williams
2,9:58.0,32-35,Mavericks,B. Williams misses 2-pt layup from 2 ft
2,9:54.0,32-35,Mavericks,Offensive rebound by A. Davis
2,9:54.0,32-35,Mavericks,A. Davis misses 2-pt layup at rim
2,9:53.0,32-35,76ers,Defensive rebound by T. Maxey
2,9:49.0,34-35,76ers,T. Maxey makes 2-pt layup from 2 ft
2,9:29.0,34-35,Mavericks,B. Williams misses 2-pt layup from 4 ft (block by T. Maxey)
2,9:27.0,34-35,76ers,Defensive rebound by T. Maxey
2,9:15.0,37-35,76ers,Q. Grimes makes 3-pt jump shot from 23 ft (assist by J. Embiid)
2,9:14.0,37-35,Mavericks,Dallas full timeout
2,9:14.0,37-35,Mavericks,C. Flagg enters the game for P. Washington
2,9:14.0,37-35,Mavericks,R. Nembhard enters the game for B. Williams
2,8:55.0,37-37,Mavericks,K. Thompson makes 2-pt jump shot from 8 ft
2,8:42.0,40-37,76ers,T. Maxey makes 3-pt jump shot from 25 ft
2,8:18.0,40-37,Mavericks,Turnover by A. Davis (bad pass; steal by J. McCain)
2,8:12.0,40-37,76ers,P. George misses 2-pt layup from 2 ft
2,8:09.0,40-37,76ers,Offensive rebound by P. George
2,8:08.0,40-37,76ers,Shooting foul by A. Davis (drawn by P. George)
2,8:08.0,41-37,76ers,P. George makes free throw 1 of 2
2,8:08.0,41-37,Mavericks,N. Marshall enters the game for C. Martin
2,8:08.0,42-37,76ers,P. George makes free throw 2 of 2
2,7:59.0,42-37,Mavericks,C. Flagg misses 2-pt jump shot from 12 ft (block by Q. Grimes)
2,7:59.0,42-37,76ers,Defensive rebound by T. Maxey
2,7:49.0,44-37,76ers,P. George makes 2-pt dunk from 2 ft (assist by T. Maxey)
2,7:49.0,44-37,Mavericks,Dallas full timeout
2,7:49.0,44-37,Mavericks,M. Christie enters the game for K. Thompson
2,7:35.0,44-37,Mavericks,Personal foul by J. McCain (drawn by A. Davis)
