quarter,time,score,team,description
1,11:44.0,2-0,Nuggets,S. Jones makes 2-pt hook shot from 7 ft (assist by D. Holmes)
1,11:23.0,2-0,76ers,Turnover by J. Embiid (bad pass; steal by S. Jones)
1,11:20.0,4-0,Nuggets,S. Jones makes 2-pt dunk from 1 ft
1,11:07.0,4-2,76ers,P. George makes 2-pt jump shot from 10 ft (assist by V. Edgecombe)
1,10:51.0,4-2,Nuggets,Shooting foul by D. Barlow (drawn by S. Jones)
1,10:51.0,4-2,Nuggets,S. Jones misses free throw 1 of 2
1,10:51.0,4-2,Nuggets,Offensive rebound by Team
1,10:51.0,5-2,Nuggets,S. Jones makes free throw 2 of 2
1,10:31.0,5-2,76ers,V. Edgecombe misses 3-pt jump shot from 23 ft
1,10:30.0,5-2,76ers,Offensive rebound by D. Barlow
1,10:29.0,5-2,76ers,D. Barlow misses 2-pt layup at rim
1,10:29.0,5-2,Nuggets,Defensive rebound by J. Pickett
1,10:17.0,8-2,Nuggets,J. Pickett makes 3-pt jump shot from 26 ft
1,10:05.0,8-2,76ers,T. Maxey misses 3-pt jump shot from 26 ft
1,10:02.0,8-2,Nuggets,Defensive rebound by J. Pickett
1,9:50.0,8-2,Nuggets,J. Pickett misses 2-pt layup from 3 ft
1,9:48.0,8-2,76ers,Defensive rebound by T. Maxey
1,9:29.0,8-2,76ers,P. George misses 2-pt jump shot from 16 ft
1,9:25.0,8-2,Nuggets,Defensive rebound by D. Holmes
1,9:20.0,11-2,Nuggets,S. Jones makes 3-pt jump shot from 26 ft (assist by J. Pickett)
1,9:05.0,11-2,76ers,D. Barlow misses 3-pt jump shot from 23 ft
1,9:03.0,11-2,76ers,Offensive rebound by V. Edgecombe
1,9:02.0,11-4,76ers,J. Embiid makes 2-pt jump shot from 11 ft (assist by V. Edgecombe)
1,8:44.0,11-4,Nuggets,J. Pickett misses 3-pt jump shot from 26 ft
1,8:42.0,11-4,76ers,Defensive rebound by D. Barlow
1,8:32.0,11-4,76ers,Turnover by J. Embiid (bad pass)
1,8:20.0,13-4,Nuggets,P. Watson makes 2-pt layup from 2 ft
1,7:58.0,13-6,76ers,J. Embiid makes 2-pt jump shot from 9 ft (assist by V. Edgecombe)
1,7:58.0,13-6,76ers,Shooting foul by D. Holmes (drawn by J. Embiid)
1,7:58.0,13-7,76ers,J. Embiid makes free throw 1 of 1
1,7:46.0,15-7,Nuggets,B. Brown makes 2-pt jump shot from 8 ft (assist by J. Pickett)
1,7:22.0,15-9,76ers,J. Embiid makes 2-pt dunk from 1 ft (assist by V. Edgecombe)
1,7:10.0,15-9,Nuggets,Shooting foul by P. George (drawn by P. Watson)
1,7:10.0,15-9,Nuggets,P. Watson misses free throw 1 of 2
1,7:10.0,15-9,Nuggets,Offensive rebound by Team
1,7:10.0,16-9,Nuggets,P. Watson makes free throw 2 of 2
1,6:56.0,16-11,76ers,D. Barlow makes 2-pt layup from 1 ft (assist by J. Embiid)
