quarter,time,score,team,description
1,11:42.0,0-0,76ers,D. Barlow misses 2-pt layup from 9 ft
1,11:37.0,0-0,76ers,Offensive rebound by A. Drummond
1,11:31.0,2-0,76ers,A. Drummond makes 2-pt layup from 2 ft
1,11:13.0,2-2,Hornets,M. Diabaté makes 2-pt dunk from 4 ft (assist by K. Knueppel)
1,10:57.0,2-2,76ers,D. Barlow misses 3-pt jump shot from 23 ft
1,10:55.0,2-2,Hornets,Defensive rebound by B. Miller
1,10:51.0,2-2,Hornets,B. Miller misses 3-pt jump shot from 26 ft
1,10:50.0,2-2,76ers,Defensive rebound by K. Oubre
1,10:38.0,2-2,76ers,K. Oubre misses 2-pt jump shot from 12 ft
1,10:38.0,2-2,76ers,Offensive rebound by A. Drummond
1,10:37.0,2-2,76ers,A. Drummond misses 2-pt layup from 2 ft
1,10:36.0,2-2,76ers,Offensive rebound by A. Drummond
1,10:32.0,2-2,76ers,Turnover by A. Drummond (bad pass; steal by B. Miller)
1,10:27.0,2-2,Hornets,K. Knueppel misses 2-pt layup from 2 ft
1,10:26.0,2-2,Hornets,Offensive rebound by K. Knueppel
1,10:23.0,2-2,Hornets,Turnover by K. Knueppel (lost ball; steal by D. Barlow)
1,10:18.0,4-2,76ers,K. Oubre makes 2-pt dunk from 5 ft (assist by T. Maxey)
1,10:03.0,4-2,Hornets,L. Ball misses 2-pt jump shot from 6 ft
1,10:00.0,4-2,76ers,Defensive rebound by V. Edgecombe
1,9:51.0,4-2,76ers,V. Edgecombe misses 3-pt jump shot from 26 ft
1,9:48.0,4-2,Hornets,Defensive rebound by M. Diabaté
1,9:39.0,4-4,Hornets,M. Bridges makes 2-pt layup from 7 ft
1,9:28.0,4-4,76ers,Turnover by T. Maxey (bad pass)
1,9:13.0,4-4,Hornets,Turnover by L. Ball (lost ball; steal by K. Oubre)
1,9:10.0,4-4,76ers,V. Edgecombe misses 2-pt layup from 2 ft
1,9:09.0,4-4,76ers,Offensive rebound by K. Oubre
1,9:08.0,6-4,76ers,K. Oubre makes 2-pt layup from 3 ft
1,8:59.0,6-6,Hornets,K. Knueppel makes 2-pt jump shot from 9 ft
1,8:50.0,6-6,76ers,T. Maxey misses 3-pt jump shot from 24 ft
1,8:43.0,6-6,Hornets,Defensive rebound by M. Bridges
1,8:40.0,6-8,Hornets,M. Diabaté makes 2-pt dunk from 3 ft (assist by L. Ball)
