quarter,time,score,team,description
1,11:44.0,0-0,Rockets,J. Smith misses 2-pt jump shot from 17 ft
1,11:42.0,0-0,Rockets,Offensive rebound by Team
1,11:42.0,0-0,Mavericks,Loose ball foul by P. Washington (drawn by A. Şengün)
1,11:32.0,0-0,Rockets,J. Smith misses 3-pt jump shot from 26 ft
1,11:31.0,0-0,Mavericks,Defensive rebound by N. Marshall
1,11:19.0,2-0,Mavericks,P. Washington makes 2-pt jump shot from 5 ft
1,11:06.0,2-0,Rockets,T. Eason misses 2-pt jump shot from 10 ft
1,11:05.0,2-0,Rockets,Offensive rebound by A. Şengün
1,10:59.0,2-0,Rockets,A. Thompson misses 2-pt jump shot from 14 ft
1,10:59.0,2-0,Mavericks,Defensive rebound by N. Marshall
1,10:44.0,2-0,Mavericks,C. Flagg misses 2-pt jump shot from 18 ft
1,10:43.0,2-0,Rockets,Defensive rebound by K. Durant
1,10:32.0,2-3,Rockets,T. Eason makes 3-pt jump shot from 27 ft (assist by A. Thompson)
1,10:23.0,2-3,Mavericks,N. Marshall misses 2-pt layup from 4 ft
1,10:22.0,2-3,Rockets,Defensive rebound by A. Şengün
1,10:15.0,2-3,Rockets,Shooting foul by D. Gafford (drawn by A. Thompson)
1,10:15.0,2-3,Rockets,A. Thompson misses free throw 1 of 2
1,10:15.0,2-3,Rockets,Offensive rebound by Team
1,10:15.0,2-4,Rockets,A. Thompson makes free throw 2 of 2
1,10:04.0,2-4,Mavericks,C. Flagg misses 2-pt hook shot from 7 ft
1,10:03.0,2-4,Rockets,Defensive rebound by K. Durant
1,9:58.0,2-4,Rockets,T. Eason misses 2-pt layup from 3 ft (block by C. Flagg)
1,9:57.0,2-4,Mavericks,Defensive rebound by C. Flagg
1,9:49.0,2-4,Mavericks,N. Marshall misses 2-pt jump shot from 10 ft
1,9:48.0,2-4,Rockets,Defensive rebound by K. Durant
1,9:32.0,2-4,Rockets,A. Şengün misses 2-pt hook shot from 5 ft
1,9:31.0,2-4,Mavericks,Defensive rebound by N. Marshall
1,9:25.0,4-4,Mavericks,N. Marshall makes 2-pt layup from 4 ft (assist by C. Flagg)
1,9:02.0,4-4,Rockets,A. Şengün misses 2-pt hook shot from 6 ft
1,9:01.0,4-4,Rockets,Offensive rebound by T. Eason
1,8:48.0,4-4,Rockets,K. Durant misses 2-pt jump shot from 20 ft
1,8:46.0,4-4,Mavericks,Defensive rebound by D. Gafford
1,8:40.0,4-4,Mavericks,Personal foul by T. Eason (drawn by C. Flagg)
1,8:33.0,4-4,Mavericks,M. Christie misses 2-pt jump shot from 17 ft
1,8:32.0,4-4,Rockets,Defensive rebound by K. Durant
1,8:22.0,4-4,Rockets,K. Durant misses 2-pt jump shot from 9 ft
1,8:21.0,4-4,Mavericks,Defensive rebound by P. Washington
1,8:15.0,4-4,Mavericks,Shooting foul by A. Şengün (drawn by C. Flagg)
1,8:15.0,5-4,Mavericks,C. Flagg makes free throw 1 of 2
1,8:15.0,6-4,Mavericks,C. Flagg makes free throw 2 of 2
1,8:04.0,6-4,Rockets,A. Şengün misses 2-pt layup from 5 ft
1,8:04.0,6-4,Rockets,Offensive rebound by Team
1,8:04.0,6-4,Mavericks,D. Powell enters the game for D. Gafford
1,7:52.0,6-6,Rockets,K. Durant makes 2-pt jump shot from 8 ft (assist by A. Şengün)
1,7:34.0,8-6,Mavericks,C. Flagg makes 2-pt layup from 5 ft
1,7:18.0,8-6,Rockets,A. Şengün misses 2-pt layup from 4 ft
1,7:17.0,8-6,Mavericks,Defensive rebound by D. Powell
1,7:10.0,8-6,Mavericks,Shooting foul by K. Durant (drawn by N. Marshall)
1,7:10.0,8-6,Mavericks,N. Marshall misses free throw 1 of 2
1,7:10.0,8-6,Mavericks,Offensive rebound by Team
1,7:10.0,8-6,Rockets,J. Okogie enters the game for J. Smith
1,7:10.0,8-6,Mavericks,N. Marshall misses free throw 2 of 2
1,7:10.0,8-6,Rockets,Defensive rebound by T. Eason
1,6:54.0,8-9,Rockets,J. Okogie makes 3-pt jump shot from 23 ft (assist by K. Durant)
1,6:42.0,8-9,Mavericks,D. Powell misses 2-pt layup from 4 ft
1,6:41.0,8-9,Rockets,Defensive rebound by J. Okogie
1,6:34.0,8-11,Rockets,A. Thompson makes 2-pt jump shot from 10 ft
1,6:18.0,8-11,Mavericks,P. Washington misses 3-pt jump shot from 26 ft
1,6:17.0,8-11,Rockets,Defensive rebound by T. Eason
1,6:12.0,8-13,Rockets,K. Durant makes 2-pt jump shot from 12 ft (assist by T. Eason)
1,6:12.0,8-13,Mavericks,Dallas full timeout
1,6:12.0,8-13,Mavericks,B. Williams enters the game for N. Marshall
1,5:56.0,8-13,Mavericks,Turnover by P. Washington (lost ball; steal by T. Eason)
1,5:52.0,8-15,Rockets,T. Eason makes 2-pt layup from 6 ft (assist by K. Durant)
1,5:31.0,8-15,Mavericks,B. Williams misses 3-pt jump shot from 25 ft
1,5:30.0,8-15,Mavericks,Offensive rebound by P. Washington
1,5:22.0,10-15,Mavericks,C. Flagg makes 2-pt jump shot from 10 ft
1,5:22.0,10-15,Mavericks,Shooting foul by J. Okogie (drawn by C. Flagg)
1,5:22.0,10-15,Mavericks,D. Gafford enters the game for D. Powell
