quarter,time,score,team,description
1,11:43.0,2-0,76ers,J. Embiid makes 2-pt jump shot from 17 ft (assist by K. Oubre)
1,11:23.0,2-0,Clippers,Turnover by K. Leonard (bad pass)
1,11:12.0,2-0,76ers,D. Barlow misses 2-pt jump shot from 12 ft
1,11:10.0,2-0,Clippers,Defensive rebound by J. Collins
1,10:52.0,2-0,Clippers,J. Collins misses 3-pt jump shot from 23 ft
1,10:49.0,2-0,76ers,Defensive rebound by K. Oubre
1,10:35.0,2-0,76ers,V. Edgecombe misses 2-pt jump shot from 15 ft
1,10:32.0,2-0,Clippers,Defensive rebound by K. Sanders
1,10:17.0,2-0,Clippers,K. Leonard misses 3-pt jump shot from 26 ft
1,10:15.0,2-0,76ers,Defensive rebound by D. Barlow
1,10:12.0,2-0,76ers,T. Maxey misses 2-pt jump shot from 6 ft
1,10:10.0,2-0,Clippers,Defensive rebound by I. Zubac
1,10:01.0,2-0,Clippers,Turnover by J. Collins (lost ball; steal by J. Embiid)
1,9:53.0,2-0,76ers,J. Embiid misses 2-pt jump shot from 15 ft
1,9:50.0,2-0,76ers,Offensive rebound by Team
1,9:44.0,5-0,76ers,T. Maxey makes 3-pt jump shot from 28 ft (assist by D. Barlow)
1,9:27.0,5-2,Clippers,I. Zubac makes 2-pt dunk from 2 ft (assist by K. Leonard)
1,9:12.0,8-2,76ers,T. Maxey makes 3-pt jump shot from 28 ft
1,8:57.0,8-2,Clippers,K. Leonard misses 2-pt jump shot from 10 ft
1,8:54.0,8-2,76ers,Defensive rebound by T. Maxey
1,8:46.0,11-2,76ers,K. Oubre makes 3-pt jump shot from 26 ft (assist by J. Embiid)
1,8:45.0,11-2,Clippers,LA Clippers full timeout
1,8:29.0,11-2,Clippers,Offensive foul by J. Collins (drawn by K. Oubre)
1,8:29.0,11-2,Clippers,Turnover by J. Collins (offensive foul)
1,8:10.0,11-2,76ers,J. Embiid misses 2-pt jump shot from 6 ft
1,8:06.0,11-2,76ers,Offensive rebound by D. Barlow
1,8:06.0,13-2,76ers,D. Barlow makes 2-pt dunk at rim
1,7:55.0,13-2,Clippers,K. Dunn misses 2-pt jump shot from 8 ft
1,7:53.0,13-2,76ers,Defensive rebound by V. Edgecombe
1,7:48.0,15-2,76ers,D. Barlow makes 2-pt layup from 4 ft (assist by V. Edgecombe)
1,7:48.0,15-2,76ers,Shooting foul by K. Dunn (drawn by D. Barlow)
1,7:48.0,16-2,76ers,D. Barlow makes free throw 1 of 1
1,7:30.0,16-2,Clippers,J. Collins misses 3-pt jump shot from 26 ft
1,7:25.0,16-2,76ers,Defensive rebound by T. Maxey
1,7:11.0,16-2,76ers,K. Oubre misses 2-pt jump shot from 9 ft
1,7:09.0,16-2,Clippers,Defensive rebound by I. Zubac
1,7:04.0,16-2,Clippers,Turnover by K. Dunn (bad pass; steal by K. Oubre)
1,7:01.0,18-2,76ers,K. Oubre makes 2-pt dunk from 2 ft
1,6:49.0,18-2,Clippers,K. Leonard misses 3-pt jump shot from 27 ft
1,6:48.0,18-2,Clippers,Offensive rebound by Team
1,6:48.0,18-2,76ers,Loose ball foul by D. Barlow (drawn by J. Collins)
1,6:42.0,18-5,Clippers,K. Sanders makes 3-pt jump shot from 25 ft (assist by K. Leonard)
1,6:25.0,18-5,76ers,J. Embiid misses 2-pt jump shot from 16 ft
1,6:17.0,18-5,76ers,Offensive rebound by D. Barlow
1,6:17.0,20-5,76ers,D. Barlow makes 2-pt dunk at rim
1,6:09.0,20-5,Clippers,Shooting foul by T. Maxey (drawn by K. Leonard)
1,6:09.0,20-6,Clippers,K. Leonard makes free throw 1 of 2
1,6:09.0,20-7,Clippers,K. Leonard makes free throw 2 of 2
1,5:51.0,20-7,76ers,Turnover by K. Oubre (lost ball; steal by K. Leonard)
1,5:49.0,20-7,Clippers,K. Leonard misses 2-pt dunk from 4 ft (block by D. Barlow)
1,5:48.0,20-7,Clippers,Offensive rebound by Team
1,5:45.0,20-7,Clippers,J. Collins misses 3-pt jump shot from 23 ft
1,5:39.0,20-7,Clippers,Offensive rebound by K. Sanders
1,5:39.0,20-9,Clippers,K. Sanders makes 2-pt layup at rim
1,5:28.0,20-9,76ers,K. Oubre misses 3-pt jump shot from 23 ft
1,5:28.0,20-9,76ers,Offensive rebound by Team
1,5:27.0,20-9,Clippers,Loose ball foul by J. Collins (drawn by J. Embiid)
1,5:27.0,20-9,Clippers,B. Lopez enters the game for J. Collins
1,5:22.0,22-9,76ers,J. Embiid makes 2-pt jump shot from 10 ft (assist by K. Oubre)
1,5:07.0,22-9,Clippers,K. Leonard misses 2-pt jump shot from 16 ft
1,5:03.0,22-9,76ers,Defensive rebound by D. Barlow
1,4:52.0,22-9,76ers,D. Barlow misses 2-pt layup from 3 ft
1,4:52.0,22-9,76ers,Offensive rebound by D. Barlow
1,4:52.0,22-9,76ers,Shooting foul by I. Zubac (drawn by D. Barlow)
1,4:52.0,23-9,76ers,D. Barlow makes free throw 1 of 2
1,4:52.0,23-9,76ers,Q. Grimes enters the game for K. Oubre
1,4:52.0,23-9,Clippers,N. Batum enters the game for K. Dunn
1,4:52.0,23-9,Clippers,J. Miller enters the game for K. Leonard
1,4:52.0,24-9,76ers,D. Barlow makes free throw 2 of 2
1,4:32.0,24-11,Clippers,J. Miller makes 2-pt jump shot from 10 ft
1,4:21.0,24-11,76ers,Q. Grimes misses 3-pt jump shot from 23 ft
1,4:18.0,24-11,76ers,Offensive rebound by D. Barlow
1,4:16.0,24-11,76ers,V. Edgecombe misses 3-pt jump shot from 27 ft
1,4:11.0,24-11,Clippers,Defensive rebound by I. Zubac
1,4:04.0,24-14,Clippers,B. Lopez makes 3-pt jump shot from 28 ft (assist by N. Batum)
1,3:43.0,24-14,76ers,J. Embiid misses 2-pt jump shot from 11 ft
1,3:41.0,24-14,Clippers,Defensive rebound by J. Miller
1,3:35.0,24-14,Clippers,Turnover by J. Miller (lost ball; steal by D. Barlow)
1,3:32.0,26-14,76ers,D. Barlow makes 2-pt dunk from 1 ft
1,3:07.0,26-16,Clippers,K. Sanders makes 2-pt jump shot from 17 ft
1,2:59.0,26-16,76ers,Shooting foul by I. Zubac (drawn by T. Maxey)
1,2:59.0,26-16,76ers,Philadelphia full timeout
1,2:59.0,26-16,76ers,A. Bona enters the game for V. Edgecombe
1,2:59.0,26-16,76ers,J. McCain enters the game for J. Embiid
1,2:59.0,26-16,Clippers,C. Christie enters the game for I. Zubac
1,2:59.0,27-16,76ers,T. Maxey makes free throw 1 of 2
1,2:59.0,28-16,76ers,T. Maxey makes free throw 2 of 2
1,2:41.0,28-18,Clippers,B. Lopez makes 2-pt hook shot from 7 ft (assist by J. Miller)
1,2:21.0,31-18,76ers,T. Maxey makes 3-pt jump shot from 28 ft (assist by A. Bona)
1,2:10.0,31-18,Clippers,B. Lopez misses 3-pt jump shot from 30 ft
1,2:10.0,31-18,76ers,Defensive rebound by Q. Grimes
1,2:03.0,31-18,76ers,Personal foul by C. Christie (drawn by T. Maxey)
1,2:03.0,32-18,76ers,T. Maxey makes free throw 1 of 2
1,2:03.0,33-18,76ers,T. Maxey makes free throw 2 of 2
1,1:44.0,33-18,Clippers,Personal foul by Q. Grimes (drawn by J. Miller)
1,1:37.0,33-18,Clippers,Shooting foul by A. Bona (drawn by J. Miller)
1,1:37.0,33-19,Clippers,J. Miller makes free throw 1 of 2
1,1:37.0,33-19,Clippers,J. Miller misses free throw 2 of 2
1,1:34.0,33-19,76ers,Defensive rebound by Q. Grimes
1,1:17.0,33-19,76ers,D. Barlow misses 2-pt jump shot from 6 ft
1,1:12.0,33-19,76ers,Offensive rebound by A. Bona
1,1:12.0,35-19,76ers,A. Bona makes 2-pt dunk at rim
1,0:58.0,35-19,Clippers,Turnover by J. Miller (lost ball; steal by T. Maxey)
1,0:53.0,38-19,76ers,T. Maxey makes 3-pt jump shot from 29 ft
1,0:33.0,38-19,Clippers,B. Lopez misses 2-pt jump shot from 8 ft
1,0:29.0,38-19,76ers,Defensive rebound by D. Barlow
1,0:10.0,38-19,76ers,T. Maxey misses 3-pt jump shot from 26 ft
1,0:09.0,38-19,Clippers,Defensive rebound by K. Sanders
1,0:03.0,38-19,Clippers,N. Batum misses 3-pt jump shot from 28 ft
1,0:00.0,38-19,76ers,Defensive rebound by J. McCain
2,11:43.0,38-21,Clippers,K. Leonard makes 2-pt jump shot from 5 ft
2,11:27.0,41-21,76ers,J. McCain makes 3-pt jump shot from 27 ft (assist by V. Edgecombe)
2,11:10.0,41-21,Clippers,Personal foul by V. Edgecombe (drawn by B. Lopez)
2,11:01.0,41-23,Clippers,J. Collins makes 2-pt layup from 2 ft (assist by B. Lopez)
2,10:46.0,44-23,76ers,K. Oubre makes 3-pt jump shot from 23 ft (assist by J. McCain)
2,10:32.0,44-23,Clippers,Personal foul by Q. Grimes (drawn by J. Miller)
2,10:29.0,44-25,Clippers,J. Miller makes 2-pt layup from 1 ft (assist by J. Collins)
2,10:29.0,44-25,76ers,Violation by Team (def goaltending)
2,10:14.0,44-25,76ers,Personal foul by B. Lopez (drawn by A. Bona)
2,10:02.0,46-25,76ers,A. Bona makes 2-pt dunk from 1 ft (assist by V. Edgecombe)
2,9:49.0,46-25,Clippers,C. Christie misses 3-pt jump shot from 26 ft
2,9:42.0,46-25,Clippers,Offensive rebound by K. Leonard
2,9:42.0,46-27,Clippers,K. Leonard makes 2-pt dunk at rim
2,9:34.0,48-27,76ers,Q. Grimes makes 2-pt dunk from 2 ft (assist by V. Edgecombe)
2,9:22.0,48-29,Clippers,K. Leonard makes 2-pt layup from 3 ft (assist by J. Miller)
2,9:10.0,48-29,76ers,Shooting foul by B. Lopez (drawn by V. Edgecombe)
2,9:10.0,49-29,76ers,V. Edgecombe makes free throw 1 of 2
2,9:10.0,49-29,Clippers,K. Dunn enters the game for C. Christie
2,9:10.0,49-29,Clippers,I. Zubac enters the game for B. Lopez
2,9:10.0,50-29,76ers,V. Edgecombe makes free throw 2 of 2
2,8:53.0,50-32,Clippers,J. Collins makes 3-pt jump shot from 25 ft (assist by K. Leonard)
2,8:38.0,50-32,76ers,V. Edgecombe misses 2-pt layup from 5 ft
2,8:32.0,50-32,76ers,Offensive rebound by A. Bona
2,8:32.0,52-32,76ers,A. Bona makes 2-pt dunk at rim
2,8:24.0,52-35,Clippers,K. Leonard makes 3-pt jump shot from 26 ft
2,8:05.0,54-35,76ers,K. Oubre makes 2-pt jump shot from 6 ft (assist by J. McCain)
2,7:52.0,54-35,Clippers,Personal foul by J. McCain (drawn by K. Leonard)
2,7:52.0,54-35,76ers,D. Barlow enters the game for Q. Grimes
2,7:35.0,54-35,Clippers,Turnover by K. Leonard (bad pass)
2,7:24.0,54-35,76ers,V. Edgecombe misses 3-pt jump shot from 26 ft
2,7:22.0,54-35,76ers,Offensive rebound by D. Barlow
2,7:20.0,56-35,76ers,D. Barlow makes 2-pt layup at rim
2,7:20.0,56-35,Clippers,LA Clippers full timeout
2,7:20.0,56-35,76ers,J. Embiid enters the game for A. Bona
2,7:09.0,56-35,Clippers,Turnover by J. Miller (bad pass; steal by D. Barlow)
2,7:05.0,58-35,76ers,D. Barlow makes 2-pt layup from 1 ft (assist by V. Edgecombe)
