quarter,time,score,team,description
1,11:41.0,0-0,76ers,Turnover by T. Maxey (lost ball; steal by M. Moody)
1,11:20.0,0-0,Warriors,Turnover by M. Moody (lost ball; steal by T. Maxey)
1,11:17.0,0-0,76ers,T. Maxey misses 3-pt jump shot from 26 ft
1,11:13.0,0-0,76ers,Offensive rebound by V. Edgecombe
1,11:12.0,0-0,76ers,Turnover by V. Edgecombe (bad pass; steal by G. Santos)
1,11:08.0,0-3,Warriors,B. Podziemski makes 3-pt jump shot from 26 ft (assist by A. Horford)
1,10:42.0,0-3,76ers,V. Edgecombe misses 3-pt jump shot from 25 ft (block by A. Horford)
1,10:38.0,0-3,76ers,Offensive rebound by A. Drummond
1,10:38.0,2-3,76ers,A. Drummond makes 2-pt dunk at rim
1,10:24.0,2-3,Warriors,B. Podziemski misses 2-pt layup from 6 ft
1,10:22.0,2-3,76ers,Defensive rebound by A. Drummond
1,10:13.0,5-3,76ers,D. Barlow makes 3-pt jump shot from 23 ft (assist by V. Edgecombe)
1,10:04.0,5-3,Warriors,Turnover by B. Podziemski (bad pass; steal by V. Edgecombe)
1,10:00.0,5-3,76ers,K. Oubre misses 2-pt layup from 3 ft
1,9:54.0,5-3,76ers,Offensive rebound by D. Barlow
1,9:54.0,5-3,76ers,D. Barlow misses 2-pt layup at rim
1,9:53.0,5-3,76ers,Offensive rebound by D. Barlow
1,9:53.0,5-3,76ers,D. Barlow misses 2-pt layup at rim
1,9:52.0,5-3,Warriors,Defensive rebound by M. Moody
1,9:45.0,5-3,Warriors,D. Green misses 3-pt jump shot from 26 ft
1,9:41.0,5-3,76ers,Defensive rebound by V. Edgecombe
1,9:34.0,5-3,76ers,T. Maxey misses 2-pt jump shot from 18 ft
1,9:30.0,5-3,76ers,Offensive rebound by A. Drummond
1,9:30.0,7-3,76ers,A. Drummond makes 2-pt layup at rim
1,9:21.0,7-6,Warriors,M. Moody makes 3-pt jump shot from 26 ft (assist by B. Podziemski)
1,9:06.0,9-6,76ers,V. Edgecombe makes 2-pt jump shot from 12 ft (assist by K. Oubre)
1,8:51.0,9-6,Warriors,D. Green misses 3-pt jump shot from 25 ft
1,8:48.0,9-6,76ers,Defensive rebound by A. Drummond
1,8:42.0,9-6,76ers,D. Barlow misses 3-pt jump shot from 23 ft
1,8:39.0,9-6,Warriors,Defensive rebound by M. Moody
1,8:26.0,9-6,Warriors,Turnover by B. Podziemski (out of bounds lost ball)
1,8:08.0,9-6,76ers,V. Edgecombe misses 2-pt jump shot from 9 ft
1,8:04.0,9-6,76ers,Offensive rebound by A. Drummond
1,8:01.0,9-6,76ers,K. Oubre misses 3-pt jump shot from 27 ft
1,7:58.0,9-6,Warriors,Defensive rebound by D. Green
1,7:51.0,9-9,Warriors,A. Horford makes 3-pt jump shot from 26 ft (assist by B. Podziemski)
1,7:33.0,12-9,76ers,K. Oubre makes 3-pt jump shot from 27 ft (assist by D. Barlow)
1,7:23.0,12-9,Warriors,Turnover by B. Podziemski (bad pass; steal by T. Maxey)
1,7:23.0,12-9,Warriors,W. Richard enters the game for G. Santos
1,7:10.0,12-9,76ers,Shooting foul by A. Horford (drawn by K. Oubre)
1,7:10.0,13-9,76ers,K. Oubre makes free throw 1 of 2
1,7:10.0,13-9,Warriors,P. Spencer enters the game for B. Podziemski
1,7:10.0,14-9,76ers,K. Oubre makes free throw 2 of 2
1,6:59.0,14-9,Warriors,M. Moody misses 3-pt jump shot from 24 ft
1,6:56.0,14-9,76ers,Defensive rebound by K. Oubre
1,6:44.0,16-9,76ers,V. Edgecombe makes 2-pt jump shot from 11 ft
1,6:37.0,16-9,Warriors,Golden State full timeout
