quarter,time,score,team,description
1,11:43.0,0-0,Nuggets,Turnover by N. Jokić (bad pass; steal by D. Mitchell)
1,11:38.0,0-0,Cavaliers,D. Mitchell misses 2-pt layup from 3 ft
1,11:35.0,0-0,Cavaliers,Offensive rebound by J. Allen
1,11:35.0,2-0,Cavaliers,J. Allen makes 2-pt layup at rim
1,11:22.0,2-0,Nuggets,J. Murray misses 3-pt jump shot from 25 ft
1,11:21.0,2-0,Cavaliers,Defensive rebound by J. Harden
1,11:12.0,4-0,Cavaliers,J. Allen makes 2-pt layup from 3 ft (assist by D. Mitchell)
1,11:01.0,4-0,Nuggets,C. Braun misses 3-pt jump shot from 26 ft
1,10:59.0,4-0,Cavaliers,Defensive rebound by J. Allen
1,10:51.0,6-0,Cavaliers,D. Mitchell makes 2-pt jump shot from 8 ft
1,10:39.0,6-3,Nuggets,J. Strawther makes 3-pt jump shot from 23 ft (assist by N. Jokić)
1,10:20.0,6-3,Cavaliers,J. Tyson misses 3-pt jump shot from 23 ft
1,10:17.0,6-3,Nuggets,Defensive rebound by N. Jokić
1,10:14.0,6-5,Nuggets,J. Strawther makes 2-pt jump shot from 5 ft
1,10:14.0,6-5,Nuggets,Shooting foul by S. Merrill (drawn by J. Strawther)
1,10:14.0,6-6,Nuggets,J. Strawther makes free throw 1 of 1
1,9:57.0,6-6,Cavaliers,J. Tyson misses 2-pt jump shot from 14 ft
1,9:53.0,6-6,Nuggets,Defensive rebound by J. Strawther
1,9:49.0,6-6,Nuggets,Turnover by N. Jokić (out of bounds lost ball)
1,9:43.0,6-6,Cavaliers,Personal foul by J. Strawther (drawn by S. Merrill)
1,9:41.0,6-6,Cavaliers,Personal foul by C. Braun (drawn by D. Mitchell)
1,9:32.0,6-6,Cavaliers,J. Tyson misses 3-pt jump shot from 26 ft
1,9:29.0,6-6,Nuggets,Defensive rebound by C. Johnson
1,9:16.0,6-6,Nuggets,Personal foul by S. Merrill (drawn by C. Johnson)
1,9:12.0,6-6,Nuggets,C. Braun misses 3-pt jump shot from 23 ft
1,9:11.0,6-6,Nuggets,Offensive rebound by Team
1,9:11.0,6-6,Cavaliers,Loose ball foul by S. Merrill (drawn by J. Murray)
1,9:11.0,6-6,Cavaliers,K. Ellis enters the game for S. Merrill
1,9:05.0,6-6,Nuggets,J. Strawther misses 2-pt layup from 2 ft (block by J. Harden)
1,9:04.0,6-6,Nuggets,Offensive rebound by Team
1,8:56.0,6-6,Nuggets,N. Jokić misses 2-pt hook shot from 8 ft
1,8:55.0,6-6,Nuggets,Offensive rebound by N. Jokić
1,8:54.0,6-8,Nuggets,N. Jokić makes 2-pt layup from 3 ft
1,8:38.0,8-8,Cavaliers,D. Mitchell makes 2-pt jump shot from 17 ft (assist by J. Allen)
